,Src,Eqid,Datetime,Lat,Lon,Mag,Depth,Nst,Place
79,nc,72090851,1382199169900,38.814,-122.8253,1.4,3,,"7km NW of The Geysers, California"
80,ci,11380834,1382197500500,33.9107,-116.7483,1.5,17.2,35,"3km ESE of Cabazon, California"
81,ak,10826955,1382197347000,60.2331,-152.2453,2.3,61.3,,"39km SE of Redoubt Volcano, Alaska"
82,ak,10826954,1382197223000,60.5682,-141.6914,1,26.6,,"69km NE of Cape Yakataga, Alaska"
83,hv,60579336,1382196818200,19.495,-155.4492,2,4.7,,"23km WNW of Volcano, Hawaii"
84,ci,11380810,1382196106900,33.2258,-115.6825,2.1,4.7,13,"15km W of Niland, California"
85,us,b000kh94,1382195665890,38.2611,141.6375,4.9,62.4,,"34km ESE of Ishinomaki, Japan"
86,nc,72090846,1382195548700,37.0972,-119.4685,2.2,17.2,,"2km NE of Auberry, California"
87,nc,72090841,1382195459800,36.8492,-120.247,1.8,18,,"16km NE of Mendota, California"
88,nc,72090821,1382195334500,37.6085,-121.6948,1.5,4.2,,"10km SE of Livermore, California"
89,ci,11380794,1382195271500,33.5777,-116.718,1.3,14.6,18,"4km WNW of Anza, California"
90,nc,72090811,1382194531200,37.651,-119.3393,1.7,29.3,,"23km ESE of Yosemite Valley, California"
91,nc,72090791,1382193126800,40.3248,-122.0923,1.8,12,,"17km ESE of Cottonwood, California"
92,nc,72090776,1382191760400,36.6418,-121.2665,1.2,5.9,,"20km SSE of Ridgemark, California"
93,ci,11380778,1382191364700,33.6772,-116.7307,1.1,17.1,20,"7km S of Idyllwild-Pine Cove, California"
94,ci,11380770,1382190247200,33.452,-116.8498,1.1,9.9,12,"1km NE of Aguanga, California"
95,us,b000kh8x,1382190225180,-56.1898,-26.6636,5,55.41,,"65km NNE of Visokoi Island, "
96,ak,10826924,1382189362000,62.3868,-142.5061,3.2,35,,"108km SSE of Tok, Alaska"
97,ci,11380762,1382188402600,33.5797,-116.7173,1.4,14.3,17,"4km NW of Anza, California"
98,pr,13292004,1382187740900,19.2665,-67.569,2.9,43,10,"99km NNW of San Antonio, Puerto Rico"
99,nc,72090766,1382187394800,36.3027,-120.7813,1.8,11.6,,"32km ENE of King City, California"
100,us,b000kh85,1382185775000,43.675,10.274,3.4,9.9,,"5km NNW of Tirrenia, Italy"
101,ci,11380754,1382185305000,33.1802,-115.6293,1,3.7,10,"12km WNW of Calipatria, California"
102,ak,10826916,1382184285000,60.0857,-150.6646,2.1,35.1,,"47km SE of Cohoe, Alaska"
103,nc,72090756,1382182741800,38.789,-122.7627,1.1,2.4,,"1km NNW of The Geysers, California"
104,us,b000kh7w,1382182634540,-7.8853,154.5094,5.2,10,,"204km SSW of Panguna, Papua New Guinea"
105,ci,11380738,1382181812300,33.1862,-115.6418,1,5.1,8,"12km WSW of Niland, California"
106,ci,11380730,1382181688400,36.0988,-117.8938,1.8,6.6,9,"50km N of Inyokern, California"
107,pr,13292003,1382180568300,19.0296,-65.1809,3.3,125,3,"80km NNW of Charlotte Amalie, U.S. Virgin Islands"
108,us,b000kh7k,1382179679930,-17.6501,-172.8381,4.5,19.64,,"164km NE of Neiafu, Tonga"
109,ci,11380714,1382179063400,33.5792,-116.7182,1,14.9,18,"4km WNW of Anza, California"
110,ci,11380706,1382178645600,33.3068,-116.3847,1,9.5,18,"5km N of Borrego Springs, California"
111,nn,00426763,1382178609741,39.5888,-119.52,1.78,13.1911,24,"17km ESE of Spanish Springs, Nevada"
112,us,b000kh7b,1382177641310,51.4485,-175.0226,4.5,28.24,,"100km SW of Atka, Alaska"
113,ci,11380690,1382177343700,33.1672,-115.6053,1.2,6.3,8,"9km WNW of Calipatria, California"
114,ak,10826898,1382177121000,62.7421,-150.7351,1.7,92.7,,"56km NW of Talkeetna, Alaska"
115,ci,11380634,1382175058200,33.5778,-116.7232,1.7,15.1,49,"5km WNW of Anza, California"
116,nc,72090706,1382174432000,38.817,-122.8168,1.2,2.7,,"6km NW of The Geysers, California"
117,ci,11380618,1382173178100,32.8728,-116.2523,1.4,4.5,33,"26km ENE of Pine Valley, California"
118,nc,72090701,1382172668400,38.8257,-122.8013,1,0,,"6km W of Cobb, California"
119,se,101913a,1382172117400,37.7476,-80.6433,2.2,8.2,8,"2km N of Alderson, West Virginia"
120,nc,72090696,1382171249000,36.6005,-121.2147,1.7,8.7,,"21km NNE of Soledad, California"
121,us,b000kh6e,1382170434290,21.8054,121.3122,4.6,59.75,,"62km ESE of Hengchun, Taiwan"
122,us,b000kh6c,1382170289430,42.9727,-111.0575,3.3,5.11,,"29km NNW of Afton, Wyoming"
123,us,b000kh6d,1382169851370,42.9587,-111.0183,2.7,4.01,,"26km NNW of Afton, Wyoming"
124,pr,13292002,1382169657600,18.2061,-67.5085,2.3,25,5,"30km WSW of Stella, Puerto Rico"
125,nc,72090681,1382168029700,36.8235,-121.3753,2.1,7.7,,"1km NW of Ridgemark, California"
126,ak,10826883,1382165377000,61.33,-150.3177,1.7,31.4,,"25km WNW of Anchorage, Alaska"
127,nn,00426762,1382165210978,39.6659,-119.6936,1.22,9.5118,26,"2km NNE of Spanish Springs, Nevada"
128,ci,11380578,1382164641400,33.3525,-116.2428,1.1,10.7,20,"16km NE of Borrego Springs, California"
129,ak,10826875,1382163611000,60.3459,-152.084,1.7,68.8,,"39km ESE of Redoubt Volcano, Alaska"
130,ci,11380562,1382163489800,34.9013,-119.0455,1.3,22.6,13,"11km ENE of Pine Mountain Club, California"
131,nc,72090646,1382162072200,38.8113,-122.8148,1.8,2.6,,"6km NW of The Geysers, California"
132,nc,72090651,1382162031800,37.6565,-119.4098,1.6,7.8,,"17km ESE of Yosemite Valley, California"
133,us,b000kh4s,1382160761390,-1.6961,-80.9867,4.3,36.73,,"57km N of Salinas, Ecuador"
134,ci,11380546,1382160726000,33.301,-116.3725,1.1,12,20,"5km N of Borrego Springs, California"
135,ci,11380538,1382160679200,33.3077,-116.3953,2.5,8,81,"6km NNW of Borrego Springs, California"
136,ci,11380530,1382160372600,32.6595,-115.8707,1.3,9.7,15,"22km SW of Seeley, California"
137,ak,10826859,1382159389000,63.4906,-151.1774,2.5,0.4,,"111km W of Cantwell, Alaska"
138,pr,13292001,1382159326000,18.1495,-67.2714,2.7,36,7,"12km NW of Puerto Real, Puerto Rico"
139,nc,72090621,1382158438000,38.8028,-122.7972,1.1,1.8,,"4km NW of The Geysers, California"
140,us,b000kh49,1382158220560,-20.791,-178.4966,4.5,587.39,,"26km SE of Ndoi Island, Fiji"
141,nc,72090616,1382157927300,38.4502,-122.6775,1.8,8.2,,"3km ENE of Santa Rosa, California"
142,us,b000kh3y,1382156311940,33.6392,140.6193,4.4,50.27,,"98km NE of Hachijo-jima, Japan"
143,pr,13292000,1382156114600,18.4115,-68.9732,3.4,111,12,"1km S of La Romana, Dominican Republic"
144,nc,72090606,1382155463500,38.7993,-122.8127,1.5,3.1,,"5km WNW of The Geysers, California"
145,nc,72090601,1382155344500,36.6003,-121.2113,3.3,8.7,,"22km NNE of Soledad, California"
146,us,b000kh3k,1382154910090,17.24,-95.1491,4.4,112.3,,"13km NW of Palomares, Mexico"
147,nc,72090596,1382154322700,36.6422,-121.2715,2,6.2,,"20km SSE of Ridgemark, California"
148,nc,72090591,1382154283100,36.6452,-121.2703,2.7,7.2,,"20km SSE of Ridgemark, California"
149,nc,72090576,1382152951700,38.8362,-122.8025,1,2.7,,"7km WNW of Cobb, California"
150,us,b000kh37,1382151503880,45.5361,150.0805,4.6,116.08,,"175km ENE of Kuril'sk, Russia"
151,ci,11380474,1382151368900,32.6263,-115.72,1.7,8.4,20,"13km WNW of Progreso, Mexico"
152,ci,11380466,1382150050500,36.0192,-117.7763,1.8,2,10,"41km N of Inyokern, California"
153,ak,10826840,1382149204000,63.0324,-150.8475,1.3,118.2,,"87km NNW of Talkeetna, Alaska"
154,us,b000kh2q,1382149153630,35.0463,23.0584,4,10.15,,"60km WSW of Palaiochora, Greece"
155,ak,10826837,1382148903000,63.4493,-147.8532,1.3,15.7,,"55km E of Cantwell, Alaska"
156,nc,72090551,1382147679800,37.544,-118.8003,1,10.4,,"19km SE of Mammoth Lakes, California"
157,ak,10826833,1382147530000,60.053,-152.7393,2.3,100,,"48km S of Redoubt Volcano, Alaska"
158,us,b000kh2d,1382147245680,4.6529,95.1241,4.6,66.03,,"102km SSW of Banda Aceh, Indonesia"
159,ci,11380458,1382146879700,35.0398,-118.541,1.4,5.7,16,"10km ESE of Stallion Springs, California"
160,us,b000kh2b,1382146716090,-29.7563,-176.6759,4.6,59.35,,"130km ESE of Raoul Island, New Zealand"
161,uw,60613767,1382142146900,44.1122,-123.1243,1.6,0,,"5km WSW of Coburg, Oregon"
162,us,b000kh1c,1382141952800,36.1113,-9.912,4.3,20.89,,"132km SW of Sagres, Portugal"
163,ak,10826659,1382141831000,63.5869,-147.3133,2.2,0.2,26,"84km ENE of Cantwell, Alaska"
164,nc,72090511,1382141509200,36.8793,-121.6,1.5,2.7,,"3km ESE of Aromas, California"
165,us,b000kh13,1382141152530,43.4702,-111.0344,3.6,3.54,,"13km WSW of Wilson, Wyoming"
166,us,b000kh0c,1382137820990,36.4872,71.107,4.5,229.81,,"43km WSW of Ashkasham, Afghanistan"
167,ak,10826642,1382137347000,64.9806,-147.3843,1.5,0.2,,"21km NNE of Badger, Alaska"
168,nc,72090481,1382136778300,38.8258,-122.8695,1,3.9,,"11km WNW of The Geysers, California"
169,us,b000kgzq,1382136471550,-8.893,-74.4239,4.6,145.76,,"58km SSE of Pucallpa, Peru"
170,ci,11380386,1382135472100,35.837,-117.6973,2.4,6.7,35,"22km NNE of China Lake Acres, California"
171,ci,11380378,1382134298800,31.2658,-115.5745,3.1,7.3,3,"65km NE of Camalu, Mexico"
172,ci,11380362,1382131597100,33.466,-116.4315,1.2,8.5,40,"23km NNW of Borrego Springs, California"
173,ak,10826614,1382131231000,61.9927,-151.9805,2.3,103.5,,"104km WSW of Talkeetna, Alaska"
174,ak,10826612,1382130876000,63.8333,-148.2474,1.3,100,,"35km E of Healy, Alaska"
175,ak,10826606,1382130037000,60.339,-151.8909,1.9,62.9,,"32km W of Cohoe, Alaska"
176,us,b000kgvg,1382129716280,-55.1445,-33.1734,4.9,17.28,,"235km ESE of Grytviken, South Georgia and the South Sandwich Islands"
177,nc,72090371,1382128595000,40.3482,-124.412,3.1,33,,"28km SSW of Ferndale, California"
178,nc,72090366,1382127955600,37.9483,-122.0595,1.5,10.7,,"0km ENE of Pleasant Hill, California"
179,nc,72090361,1382127762200,38.789,-122.7293,1.2,2.8,,"2km ENE of The Geysers, California"
180,ak,10826587,1382125897000,62.4512,-147.9112,1.2,45,,"87km NNE of Sutton-Alpine, Alaska"
181,nc,72090331,1382125262300,37.3233,-122.1118,1.7,0,,"3km SSW of Loyola, California"
182,nc,72090336,1382124909000,40.1753,-121.0052,1.7,12.3,,"6km NW of Greenville, California"
183,nc,72090316,1382123869200,37.516,-118.868,1.4,6.5,,"17km SSE of Mammoth Lakes, California"
184,ci,11380306,1382123836500,33.8388,-117.5097,1.2,0,27,"1km E of El Cerrito, California"
185,nc,72090306,1382123440400,37.5158,-118.8667,1.4,6.4,,"17km SSE of Mammoth Lakes, California"
186,nc,72090301,1382123051700,37.5155,-118.8693,2,6.1,,"17km SSE of Mammoth Lakes, California"
187,uw,60613437,1382122222700,49.1817,-122.3312,1.1,0,,"5km NNW of Mission, Canada"
188,hv,60578801,1382119640700,19.3703,-155.2407,2.1,32,,"6km S of Volcano, Hawaii"
189,us,b000kgm0,1382119300900,-19.7528,-176.7417,4.9,302.72,,"221km NW of Nuku`alofa, Tonga"
190,ci,11380266,1382117938600,33.0642,-116.3852,1.2,13.7,27,"20km E of Julian, California"
191,us,b000kgji,1382116146740,9.6523,123.6124,4.5,54.84,,"12km E of El Pardo, Philippines"
192,ak,10826502,1382114921000,63.8316,-148.4746,1.8,100,,"24km E of Healy, Alaska"
193,ci,11380250,1382114386300,34.0485,-117.3138,1.2,0,9,3km E of Quarry at SLOVER
194,uu,60041647,1382114245400,40.7237,-112.0188,1.6,8.3,,"3km NNW of West Valley City, Utah"
195,nc,72090226,1382113759900,39.7213,-122.854,2,0.2,,"34km ESE of Covelo, California"
196,ak,10826471,1382113158000,61.4111,-149.9228,1.8,30.3,14,"12km S of Big Lake, Alaska"
197,nc,72090211,1382112012700,37.3488,-121.9505,1.1,5.2,,"0km SE of Santa Clara, California"
198,us,b000kh5m,1382110940080,35.598,-97.376,2.5,5,,"8km N of Spencer, Oklahoma"
199,nc,72090196,1382110325400,38.8413,-122.8418,1.1,1.8,,"10km WNW of Cobb, California"
200,ci,11380242,1382110141400,34.0707,-116.7665,2.4,12.7,78,"17km W of Morongo Valley, California"
201,nc,72090166,1382108941800,38.7825,-122.7318,1.3,1.7,,"2km ENE of The Geysers, California"
202,us,b000kge2,1382108911850,35.6411,11.0104,4.5,27.67,,"2km NNE of Al Baqalitah, Tunisia"
203,ak,10826450,1382107023000,64.3694,-147.9961,1.8,4,,"52km SSW of Badger, Alaska"
204,nc,72090151,1382106687600,38.8148,-122.8138,1,3.7,,"6km NW of The Geysers, California"
205,nc,72090141,1382105962300,37.2922,-122.3715,1.5,9.3,,"15km SW of Portola Valley, California"
206,hv,60578691,1382105515300,19.3678,-155.0868,1.7,1.8,,"16km S of Fern Acres, Hawaii"
207,pr,13291008,1382105108300,18.9428,-67.6635,2.8,7,11,"77km NW of San Antonio, Puerto Rico"
208,us,b000kh58,1382104749930,35.668,-97.131,2.9,5,,"5km E of Luther, Oklahoma"
209,ak,10826442,1382104369000,65.8875,-150.4321,1.8,0,,"99km N of Manley Hot Springs, Alaska"
210,ak,10826437,1382103305000,61.1917,-151.3953,1.4,79.5,,"56km N of Nikiski, Alaska"
211,nn,00426708,1382103173025,37.9606,-114.7951,1.31,18.0664,7,"30km W of Pioche, Nevada"
212,us,b000kgbw,1382102302340,28.2579,66.4887,5.3,10,,"34km SE of Surab, Pakistan"
213,us,b000kgbr,1382101946500,25.9654,64.0732,4.7,15.58,,"98km NE of Pasni, Pakistan"
214,ak,10826430,1382101167000,63.4919,-147.9821,1.4,30.7,,"49km ENE of Cantwell, Alaska"
215,ak,10826426,1382101039000,64.0613,-147.9746,1.3,8.9,7,"53km ENE of Healy, Alaska"
216,ak,10826424,1382100826000,64.8327,-147.1952,2,16.4,,"11km NE of North Pole, Alaska"
217,ci,11380178,1382099088200,33.0357,-116.4187,1,5.1,35,"17km ESE of Julian, California"
218,ak,10826418,1382097063000,61.8121,-150.0069,1.6,32.6,6,"7km NNE of Willow, Alaska"
219,nc,72090081,1382096810900,35.8385,-121.196,2.7,4.7,,"21km N of San Simeon, California"
220,nc,72090076,1382096344500,38.8375,-122.8383,1.3,2.7,,"9km NW of The Geysers, California"
221,us,b000kgb8,1382095132380,-6.7064,154.911,4.5,43.98,,"76km SW of Panguna, Papua New Guinea"
222,nc,72090061,1382094867100,37.858,-122.01,1.2,5.2,,"2km ENE of Alamo, California"
223,ak,10826407,1382094551000,62.1984,-150.1078,1.6,15.4,,"13km S of Talkeetna, Alaska"
224,nc,72090056,1382094153400,37.5403,-118.8523,1.1,9.9,,"16km SE of Mammoth Lakes, California"
225,nc,72090051,1382093384500,38.8372,-122.7515,1.2,1.3,,"2km NW of Cobb, California"
226,nc,72090046,1382093349700,38.8373,-122.7512,1.8,1.7,,"2km NW of Cobb, California"
227,nc,72090036,1382093243900,38.8373,-122.7518,2.1,1.7,,"3km NW of Cobb, California"
228,nc,72090031,1382093149700,38.8342,-122.7532,2,1.1,,"2km WNW of Cobb, California"
229,us,b000kgau,1382091435380,-6.5343,155.0519,4.5,54.24,,"53km WSW of Panguna, Papua New Guinea"
230,ak,10826390,1382091223000,61.6957,-150.0029,1.6,34.8,,"6km SSE of Willow, Alaska"
231,ci,11380130,1382090320900,36.0842,-117.8815,1.1,2.7,21,"48km N of Inyokern, California"
232,us,b000kgah,1382089247610,37.4448,141.6125,4.7,52.23,,"54km E of Namie, Japan"
233,pr,13291005,1382088294900,17.816,-67.0375,1.9,33,5,"17km S of La Parguera, Puerto Rico"
234,pr,13291004,1382088236900,17.8442,-67.055,2,35,5,"14km S of La Parguera, Puerto Rico"
235,ci,11380122,1382087075500,33.4838,-116.5775,1.1,8.2,36,"11km SE of Anza, California"
236,us,b000kg9j,1382086086480,9.7763,123.9308,4.8,20.13,,"3km E of Antequera, Philippines"
237,pr,13291002,1382085847500,19.1448,-66.4947,3.1,20,17,"75km N of Tierras Nuevas Poniente, Puerto Rico"
238,ci,11380114,1382084909100,36.0293,-118.3005,1.5,15.4,17,"32km NNE of Kernville, California"
239,ak,10826378,1382084808000,61.9652,-150.4812,1.3,40.1,,"33km NW of Willow, Alaska"
240,nc,72089956,1382084128100,38.824,-122.8088,1.2,3.4,,"6km NW of The Geysers, California"
241,ak,10826372,1382082864000,63.3708,-151.4498,1.8,3.8,,"124km W of Cantwell, Alaska"
242,pr,13291003,1382082569300,17.8817,-67.222,1.9,30,4,"11km SSW of Pole Ojea, Puerto Rico"
243,us,b000kg8u,1382081556490,-12.7621,-77.0973,4,41.74,,"47km SW of Chilca, Peru"
244,ak,10826369,1382081420000,62.5831,-150.7762,1.6,16.7,,"44km NW of Talkeetna, Alaska"
245,uu,60041627,1382081317000,38.9565,-111.4053,1.3,1.4,,"28km WSW of Ferron, Utah"
246,hv,60234978,1382081282200,19.5143,-155.6642,1.1,6.8,,"22km ENE of Honaunau-Napoopoo, Hawaii"
247,us,b000kg8l,1382081073170,9.9107,124.143,4.6,20.65,,"5km E of Sagbayan, Philippines"
248,ak,10826364,1382080554000,62.3354,-148.2511,1.4,35.3,,"67km NNE of Sutton-Alpine, Alaska"
249,ci,11380098,1382080121500,36.0068,-117.8025,1.6,2.1,11,"39km N of Inyokern, California"
250,hv,60578586,1382079649400,19.3908,-155.2808,1.7,2.5,,"6km SW of Volcano, Hawaii"
251,nc,72089931,1382078777800,38.8393,-122.8278,1.2,2.8,,"9km WNW of Cobb, California"
252,us,b000kg7v,1382078055970,3.6443,122.593,4.3,579.06,,"274km SSE of Tabiauan, Philippines"
253,nc,72089921,1382076805900,40.2952,-124.4772,2.4,20.4,,"36km SSW of Ferndale, California"
254,nc,72089916,1382076721400,39.5377,-122.373,1.7,4.6,,"15km W of Willows, California"
255,ak,10826352,1382076529000,54.2312,-164.5532,2.9,66,,"80km E of Akutan, Alaska"
256,ak,10826350,1382076141000,61.651,-151.2634,1.4,7.4,8,"65km W of Willow, Alaska"
257,nc,72089901,1382074748100,38.8052,-122.8143,1.1,4,,"5km WNW of The Geysers, California"
258,nc,72089896,1382073861800,38.8373,-122.7762,1,2.6,,"4km WNW of Cobb, California"
259,ak,10826335,1382072981000,61.466,-150.6212,1.8,27.3,,"36km W of Big Lake, Alaska"
260,ak,10826334,1382072946000,60.3171,-141.7293,1.3,6,8,"47km NE of Cape Yakataga, Alaska"
261,nc,72089881,1382072803700,36.5837,-121.183,2,2.8,,"21km NE of Soledad, California"
262,nn,00426697,1382072752267,39.0803,-118.974,1.27,12.4379,13,"19km ENE of Yerington, Nevada"
263,us,b000kg7b,1382072700910,-6.6267,154.9386,4.9,38.4,,"69km WSW of Panguna, Papua New Guinea"
264,us,b000kg74,1382072184400,16.6506,122.2026,4.6,48.94,,"24km ESE of Dicamay, Philippines"
265,hv,60578546,1382072155200,19.3905,-155.2492,2.1,2.5,,"4km SSW of Volcano, Hawaii"
